name,labels,review_text,categories
Me Gusta Mexican Food Specialties,positive,fair,mexican
Me Gusta Mexican Food Specialties,positive,pretty,mexican
Me Gusta Mexican Food Specialties,negative,enjoying,mexican
Little Szechwan,positive,dead,chinese
Little Szechwan,negative,lost,chinese
Little Szechwan,positive,hesitant,chinese
Don Sal Cocina & Cantina,positive,disappointed,mexican
Don Sal Cocina & Cantina,negative,super,mexican
Don Sal Cocina & Cantina,negative,sad,mexican
Azteca restaurant,positive,best,mexican
Azteca restaurant,negative,damn,mexican
Azteca restaurant,negative,fast,mexican
Teclena Flores,negative,good,mexican
Teclena Flores,negative,miss,mexican
Teclena Flores,positive,slow,mexican
Mora Mexican Salvadoran Restaurant,negative,good,"latin,mexican"
Rancheritas Mexican Grill,positive,better,mexican
Rancheritas Mexican Grill,positive,delicious,mexican
Rancheritas Mexican Grill,positive,generous,mexican
K-BOB,positive,best,"korean,buffets,bbq"
K-BOB,negative,good,"korean,buffets,bbq"
Katz N' Jammers Cafe,positive,good,"diners,breakfast_brunch,tradamerican"
Katz N' Jammers Cafe,positive,good,"diners,breakfast_brunch,tradamerican"
Katz N' Jammers Cafe,positive,clean,"diners,breakfast_brunch,tradamerican"
The Thai Restaurant,positive,thank,"thai,noodles,seafood"
The Thai Restaurant,negative,bad,"thai,noodles,seafood"
The Thai Restaurant,positive,favorite,"thai,noodles,seafood"
Black Angus Steakhouse,negative,spoiled,"steak,tradamerican,seafood"
Black Angus Steakhouse,positive,nice,"steak,tradamerican,seafood"
Black Angus Steakhouse,positive,nicely,"steak,tradamerican,seafood"
Primo Cafe,positive,hard,"tradamerican,sportsbars,breakfast_brunch"
Primo Cafe,negative,worth,"tradamerican,sportsbars,breakfast_brunch"
Korean BBQ and Market,positive,like,"korean,grocery,bbq"
Korean BBQ and Market,negative,pretty,"korean,grocery,bbq"
Korean BBQ and Market,positive,supreme,"korean,grocery,bbq"
Big Shotz Bar & Grill,positive,false,"bars,tradamerican,musicvenues"
Big Shotz Bar & Grill,negative,illegal,"bars,tradamerican,musicvenues"
Big Shotz Bar & Grill,positive,free,"bars,tradamerican,musicvenues"
Casita Lopez,positive,happy,mexican
Casita Lopez,negative,rude,mexican
Casita Lopez,positive,great,mexican
Luis's Restaurant,positive,horrible,mexican
Luis's Restaurant,positive,promised,mexican
Luis's Restaurant,negative,love,mexican
Great Wall,positive,work,"chinese,bubbletea,asianfusion"
Great Wall,negative,nice,"chinese,bubbletea,asianfusion"
Panda Express,positive,good,"chinese,hotdogs"
Panda Express,negative,recommended,"chinese,hotdogs"
Cancun De Noche,positive,liked,mexican
Mi Ranchito Mexican Bar And Grill,positive,delicious,mexican
Mi Ranchito Mexican Bar And Grill,positive,incredible,mexican
Tacos Gonzalez,positive,good,mexican
Tacos Gonzalez,positive,stumbled,mexican
Tacos Gonzalez,positive,damn,mexican
Boom Chicken,positive,healthy,"chicken_wings,korean"
Boom Chicken,negative,love,"chicken_wings,korean"
Boom Chicken,negative,great,"chicken_wings,korean"
Tom's Famous Family Restaurant,positive,like,"burgers,tradamerican,mexican"
Tom's Famous Family Restaurant,negative,losing,"burgers,tradamerican,mexican"
Tom's Famous Family Restaurant,negative,ready,"burgers,tradamerican,mexican"
Panda Express,positive,like,"hotdogs,chinese"
Panda Express,negative,hot,"hotdogs,chinese"
Panda Express,negative,cold,"hotdogs,chinese"
Dragon Garden Chinese Cuisine,positive,great,"chinese,hotdogs"
Dragon Garden Chinese Cuisine,negative,dead,"chinese,hotdogs"
Dragon Garden Chinese Cuisine,negative,favorite,"chinese,hotdogs"
Bubbakoo’s Burrito,positive,loved,"mexican,tex-mex"
Bubbakoo’s Burrito,negative,begging,"mexican,tex-mex"
Bubbakoo’s Burrito,negative,bitch,"mexican,tex-mex"
A1 Kabob,positive,horrible,"mediterranean,lebanese"
A1 Kabob,negative,recommended,"mediterranean,lebanese"
A1 Kabob,positive,right,"mediterranean,lebanese"
El Pollo Loco,negative,right,"hotdogs,mexican"
El Pollo Loco,negative,nasty,"hotdogs,mexican"
Guido's Pizza & Pasta,negative,favorite,"pizza,italian"
Guido's Pizza & Pasta,negative,delicious,"pizza,italian"
El Pollo Loco,positive,wrong,"hotdogs,mexican"
El Pollo Loco,negative,favorite,"hotdogs,mexican"
El Pollo Loco,negative,perfect,"hotdogs,mexican"
El Chilaquil Mexican and Seafood Restaurant,positive,friendly,"mexican,seafood"
El Chilaquil Mexican and Seafood Restaurant,negative,pretty,"mexican,seafood"
El Chilaquil Mexican and Seafood Restaurant,negative,decent,"mexican,seafood"
El Buen Gusto Restaurant,positive,decent,mexican
El Buen Gusto Restaurant,negative,loved,mexican
El Buen Gusto Restaurant,positive,nice,mexican
Taco Bell,negative,love,"mexican,hotdogs"
Taco Bell,positive,perfect,"mexican,hotdogs"
Taco Bell,negative,good,"mexican,hotdogs"
Mr Wok,positive,great,chinese
Mr Wok,negative,like,chinese
Mr Wok,negative,nice,chinese
CC Hawaiian BBQ,positive,nicest,"bbq,sushi,hawaiian"
CC Hawaiian BBQ,positive,love,"bbq,sushi,hawaiian"
CC Hawaiian BBQ,positive,awesome,"bbq,sushi,hawaiian"
Burrolandia Mexican Grill,positive,free,mexican
Burrolandia Mexican Grill,positive,love,mexican
Burrolandia Mexican Grill,positive,great,mexican
Pho Stop,positive,enjoy,vietnamese
Pho Stop,negative,slow,vietnamese
Sub Machine,positive,loves,"sandwiches,salad,tradamerican"
Sub Machine,positive,nice,"sandwiches,salad,tradamerican"
Sub Machine,negative,best,"sandwiches,salad,tradamerican"
Gino's Italian Restaurant,positive,sorry,"italian,pizza,wine_bars"
Gino's Italian Restaurant,negative,sorry,"italian,pizza,wine_bars"
Gino's Italian Restaurant,negative,great,"italian,pizza,wine_bars"
Pizza Hut,negative,complain,"italian,pizza,chicken_wings"
Pizza Hut,negative,awesome,"italian,pizza,chicken_wings"
Pizza Hut,negative,horrible,"italian,pizza,chicken_wings"
Louis Burgers,positive,safe,"burgers,tradamerican,breakfast_brunch"
Louis Burgers,negative,good,"burgers,tradamerican,breakfast_brunch"
Louis Burgers,negative,sued,"burgers,tradamerican,breakfast_brunch"
The Village Grille,positive,crap,tradamerican
The Village Grille,positive,love,tradamerican
The Village Grille,negative,fun,tradamerican
Medrano's Mexican Restaurant,positive,super,"mexican,karaoke,venues"
Medrano's Mexican Restaurant,positive,fun,"mexican,karaoke,venues"
Medrano's Mexican Restaurant,negative,good,"mexican,karaoke,venues"
Pepe El Toro,positive,like,mexican
Pepe El Toro,positive,authentic,mexican
Pepe El Toro,positive,pure,mexican
Granada Room Restaurant,negative,shock,tradamerican
Granada Room Restaurant,positive,losing,tradamerican
El Toreo Far West,positive,love,mexican
El Toreo Far West,negative,delicious,mexican
El Toreo Far West,positive,nice,mexican
Del Taco,negative,recommend,"hotdogs,mexican,breakfast_brunch"
Del Taco,negative,authentic,"hotdogs,mexican,breakfast_brunch"
Maribel's Cake's & Bakery,positive,happy,"mexican,cakeshop,desserts"
Maribel's Cake's & Bakery,negative,great,"mexican,cakeshop,desserts"
Maribel's Cake's & Bakery,positive,speedy,"mexican,cakeshop,desserts"
Sammy's Restaurant,positive,pretty,mexican
Sammy's Restaurant,positive,great,mexican
Sammy's Restaurant,positive,sweet,mexican
Birria Superior,positive,sour,mexican
Birria Superior,positive,good,mexican
Birria Superior,positive,enjoyed,mexican
Tacos De Barbacoa Castellon,positive,love,mexican
Patty's Cafe,positive,fast,"mexican,breakfast_brunch"
Patty's Cafe,positive,recommend,"mexican,breakfast_brunch"
Patty's Cafe,positive,clean,"mexican,breakfast_brunch"
Red Salmon,positive,nice,japanese
Red Salmon,negative,cheap,japanese
Red Salmon,negative,hot,japanese
Del Taco,negative,wrong,"hotdogs,mexican"
Del Taco,negative,great,"hotdogs,mexican"
Del Taco,negative,bad,"hotdogs,mexican"
Taco Bell,negative,great,"hotdogs,mexican"
Taco Bell,negative,good,"hotdogs,mexican"
Spicy Thai,positive,good,thai
Spicy Thai,positive,pretty,thai
Spicy Thai,negative,good,thai
Thai & Chinese Food,positive,fried,"thai,chinese"
Thai & Chinese Food,negative,rude,"thai,chinese"
Thai & Chinese Food,negative,like,"thai,chinese"
Salatip Restaurant,positive,trash,thai
Salatip Restaurant,negative,best,thai
Salatip Restaurant,negative,pretty,thai
The Tipsy Moon,positive,good,"foodtrucks,mexican"
The Tipsy Moon,positive,friendly,"foodtrucks,mexican"
The Tipsy Moon,positive,fine,"foodtrucks,mexican"
Marie Callender's Restaurant & Bakery,positive,happy,"tradamerican,bakeries"
Marie Callender's Restaurant & Bakery,negative,wrong,"tradamerican,bakeries"
Marie Callender's Restaurant & Bakery,negative,exceedingly,"tradamerican,bakeries"
Pizza Hut,positive,gall,"pizza,italian,chicken_wings"
Pizza Hut,negative,guilty,"pizza,italian,chicken_wings"
Pizza Hut,negative,helped,"pizza,italian,chicken_wings"
Pan De Vida Taqueria Mexicana,positive,fresh,mexican
Pan De Vida Taqueria Mexicana,negative,good,mexican
Pan De Vida Taqueria Mexicana,negative,works,mexican
Denny's,negative,hates,"tradamerican,breakfast_brunch,diners"
Denny's,negative,appalled,"tradamerican,breakfast_brunch,diners"
Chipotle Mexican Grill,positive,like,"mexican,hotdogs"
Chipotle Mexican Grill,negative,like,"mexican,hotdogs"
Chipotle Mexican Grill,negative,smells,"mexican,hotdogs"
Aloha Hawaiian Grill,negative,like,hawaiian
Tacos El Superior,positive,like,"mexican,breakfast_brunch"
Tacos El Superior,negative,good,"mexican,breakfast_brunch"
Tacos El Superior,negative,loved,"mexican,breakfast_brunch"
A Mexican Grill,positive,clear,"mexican,seafood"
A Mexican Grill,positive,worse,"mexican,seafood"
A Mexican Grill,positive,misses,"mexican,seafood"
RocaMar Mexican and Seafood Restaurant,positive,badly,"mexican,seafood"
RocaMar Mexican and Seafood Restaurant,positive,disgusting,"mexican,seafood"
Dickey's Barbecue Pit,negative,complain,"bbq,tradamerican,chicken_wings"
Dickey's Barbecue Pit,positive,rude,"bbq,tradamerican,chicken_wings"
Dickey's Barbecue Pit,negative,hell,"bbq,tradamerican,chicken_wings"
Mi Ranchito,positive,nasty,mexican
Mi Ranchito,negative,awful,mexican
Mi Ranchito,negative,hot,mexican
IHOP,negative,nice,"breakfast_brunch,tradamerican,burgers"
IHOP,negative,perfectly,"breakfast_brunch,tradamerican,burgers"
Challenger Tap House,positive,seasoned,"sportsbars,tradamerican"
Challenger Tap House,negative,yay,"sportsbars,tradamerican"
Challenger Tap House,positive,rude,"sportsbars,tradamerican"
Hacienda Don Cuco,positive,nasty,mexican
Hacienda Don Cuco,positive,like,mexican
Yoshinoya West Avenue K & 10th St.,positive,glad,japanese
Yoshinoya West Avenue K & 10th St.,negative,best,japanese
Yoshinoya West Avenue K & 10th St.,negative,ready,japanese
Panda Wok,positive,love,chinese
Panda Wok,positive,bother,chinese
Panda Wok,positive,best,chinese
Mi Ranchito,positive,good,mexican
Mi Ranchito,negative,better,mexican
Mi Ranchito,negative,pan,mexican
bigtuna Japanese Restaurant,positive,favorite,"sushi,japanese"
bigtuna Japanese Restaurant,negative,lost,"sushi,japanese"
bigtuna Japanese Restaurant,negative,delicious,"sushi,japanese"
Rubio's,positive,fav,"mexican,seafood,salad"
Rubio's,negative,like,"mexican,seafood,salad"
Rubio's,positive,love,"mexican,seafood,salad"
Applebee's Grill + Bar,positive,delicious,"tradamerican,sportsbars,burgers"
Applebee's Grill + Bar,negative,enough,"tradamerican,sportsbars,burgers"
Applebee's Grill + Bar,positive,awesome,"tradamerican,sportsbars,burgers"
Chili's,negative,missed,"tradamerican,tex-mex,bars"
Chili's,negative,celebration,"tradamerican,tex-mex,bars"
Thai Cafe,positive,favorite,thai
Thai Cafe,positive,best,thai
Thai Cafe,negative,nice,thai
Saku Saki Sushi,positive,ready,"japanese,sushi,seafood"
Saku Saki Sushi,negative,like,"japanese,sushi,seafood"
Saku Saki Sushi,negative,delicious,"japanese,sushi,seafood"
El Rincon MX,positive,hot,mexican
El Rincon MX,positive,better,mexican
El Rincon MX,positive,love,mexican
Familia Barrios Catering,positive,awesome,"foodtrucks,mexican"
Familia Barrios Catering,negative,best,"foodtrucks,mexican"
Familia Barrios Catering,negative,recommend,"foodtrucks,mexican"
BurgerIM,positive,decent,"tradamerican,burgers,chicken_wings"
BurgerIM,positive,inconsistent,"tradamerican,burgers,chicken_wings"
BurgerIM,negative,decent,"tradamerican,burgers,chicken_wings"
Sammy's & Martina's Restaurant,positive,amazing,mexican
Sammy's & Martina's Restaurant,positive,amazing,mexican
Sammy's & Martina's Restaurant,positive,thank,mexican
Karen's Kitchen 3,positive,great,"cafes,tradamerican,breakfast_brunch"
Karen's Kitchen 3,negative,good,"cafes,tradamerican,breakfast_brunch"
Karen's Kitchen 3,negative,delicious,"cafes,tradamerican,breakfast_brunch"
Sato Sushi,positive,perfect,"sushi,japanese"
Sato Sushi,negative,perfect,"sushi,japanese"
Sato Sushi,negative,angel,"sushi,japanese"
Tortilla Grill,positive,favorite,mexican
Tortilla Grill,negative,soft,mexican
Tortilla Grill,positive,great,mexican
Chinese Bistro,positive,like,chinese
Chinese Bistro,positive,well,chinese
Chinese Bistro,positive,well,chinese
Hawaiian BBQ,positive,slow,hawaiian
Hawaiian BBQ,positive,sour,hawaiian
Hawaiian BBQ,negative,easy,hawaiian
Nd's Burger,positive,well,"hotdogs,mexican,tradamerican"
Nd's Burger,positive,disgusting,"hotdogs,mexican,tradamerican"
Nd's Burger,positive,decent,"hotdogs,mexican,tradamerican"
Vince's Pasta & Pizza,positive,steal,"pizza,italian,chicken_wings"
Vince's Pasta & Pizza,negative,supreme,"pizza,italian,chicken_wings"
Vince's Pasta & Pizza,negative,seasoned,"pizza,italian,chicken_wings"
El Pollo Loco,negative,bomb,"mexican,hotdogs"
El Pollo Loco,positive,love,"mexican,hotdogs"
El Pollo Loco,negative,horrible,"mexican,hotdogs"
Scramblez Grill & Bar,positive,upheld,"tradamerican,breakfast_brunch,sportsbars"
Scramblez Grill & Bar,positive,great,"tradamerican,breakfast_brunch,sportsbars"
El Toreo Far West,positive,adaptable,mexican
El Toreo Far West,negative,favorite,mexican
Schooners Patio Grille,positive,happy,"tradamerican,sportsbars"
Schooners Patio Grille,negative,amazing,"tradamerican,sportsbars"
Schooners Patio Grille,negative,great,"tradamerican,sportsbars"
Taco Bell,positive,wonder,"mexican,hotdogs"
Taco Bell,negative,well,"mexican,hotdogs"
Taco Bell,negative,holy,"mexican,hotdogs"
Del Taco,negative,holy,"hotdogs,mexican"
Del Taco,negative,unfortunate,"hotdogs,mexican"
Del Taco,negative,stumbled,"hotdogs,mexican"
The Kirin Hut,positive,top,chinese
The Kirin Hut,positive,right,chinese
The Kirin Hut,negative,fast,chinese
Jackie’s cafe,positive,shake,"tradamerican,breakfast_brunch"
Jackie’s cafe,positive,slowest,"tradamerican,breakfast_brunch"
Mi Ranchito,positive,enough,"mexican,seafood,breakfast_brunch"
Mi Ranchito,negative,best,"mexican,seafood,breakfast_brunch"
Mi Ranchito,positive,limited,"mexican,seafood,breakfast_brunch"
Panda Express,positive,abrasive,"hotdogs,chinese"
Panda Express,negative,poor,"hotdogs,chinese"
Panda Express,positive,slow,"hotdogs,chinese"
Tom's Famous Family Restaurant,positive,well,tradamerican
Tom's Famous Family Restaurant,negative,super,tradamerican
Tom's Famous Family Restaurant,negative,nice,tradamerican
Captain Tony's Pizza & Pasta Emporium,positive,die,"pizza,italian"
Captain Tony's Pizza & Pasta Emporium,negative,regret,"pizza,italian"
Captain Tony's Pizza & Pasta Emporium,positive,best,"pizza,italian"
El Toreo West L-10,negative,sweet,mexican
El Toreo West L-10,positive,great,mexican
Xalisco Bar & Grill,positive,best,"newmexican,mexican"
Xalisco Bar & Grill,negative,recommend,"newmexican,mexican"
Xalisco Bar & Grill,negative,worth,"newmexican,mexican"
The Raven's Nest Restaurant & Lounge,positive,nice,"italian,modern_european,breakfast_brunch"
The Raven's Nest Restaurant & Lounge,positive,bomb,"italian,modern_european,breakfast_brunch"
The Raven's Nest Restaurant & Lounge,positive,good,"italian,modern_european,breakfast_brunch"
Clasico Tacos,positive,fast,mexican
Clasico Tacos,positive,fresh,mexican
Clasico Tacos,positive,authentic,mexican
Mi Durango Tex-Mex,positive,good,"tex-mex,mexican"
Mi Durango Tex-Mex,positive,best,"tex-mex,mexican"
Mi Durango Tex-Mex,positive,friendly,"tex-mex,mexican"
Primo Burgers,positive,like,"burgers,mexican,breakfast_brunch"
Primo Burgers,negative,nice,"burgers,mexican,breakfast_brunch"
Primo Burgers,negative,cheerful,"burgers,mexican,breakfast_brunch"
The Original Karen's Kitchen,positive,loves,"breakfast_brunch,diners,tradamerican"
Culichi Town - Lancaster,negative,right,"mexican,seafood,sushi"
Culichi Town - Lancaster,positive,bad,"mexican,seafood,sushi"
Culichi Town - Lancaster,negative,like,"mexican,seafood,sushi"
RigaTony's Pizza & Pasta,negative,worse,"pizza,italian,pastashops"
RigaTony's Pizza & Pasta,positive,sorry,"pizza,italian,pastashops"
RigaTony's Pizza & Pasta,negative,good,"pizza,italian,pastashops"
Don Juan Mexican & Seafood,positive,cons,"mexican,seafood"
Don Juan Mexican & Seafood,negative,good,"mexican,seafood"
Don Juan Mexican & Seafood,negative,nice,"mexican,seafood"
Pizza Hut,positive,loves,"pizza,italian,chicken_wings"
Pizza Hut,negative,fried,"pizza,italian,chicken_wings"
Pizza Hut,negative,bad,"pizza,italian,chicken_wings"
Medrano's Mexican Restaurant,positive,like,mexican
Medrano's Mexican Restaurant,positive,friendly,mexican
Panda Express,positive,great,"hotdogs,chinese"
Panda Express,negative,fried,"hotdogs,chinese"
Panda Express,negative,shocked,"hotdogs,chinese"
Tacos El Afro,positive,amazing,"foodtrucks,mexican"
Tacos El Afro,negative,fool,"foodtrucks,mexican"
Tacos El Afro,negative,authentic,"foodtrucks,mexican"
Del Taco,positive,innovative,"mexican,hotdogs"
Del Taco,negative,inventive,"mexican,hotdogs"
Del Taco,negative,creative,"mexican,hotdogs"
Deep Sea | The Original Poke,positive,perfectly,"poke,sushi,japanese"
Deep Sea | The Original Poke,positive,super,"poke,sushi,japanese"
The Rancho Vista Golf Club Grill,positive,nice,tradamerican
The Rancho Vista Golf Club Grill,positive,top,tradamerican
The Rancho Vista Golf Club Grill,negative,love,tradamerican
Speedy Joe's,positive,best,mexican
Speedy Joe's,positive,negative,mexican
Speedy Joe's,positive,poor,mexican
Ameci pizza kitchen,positive,horrible,"pizza,italian,chicken_wings"
Ameci pizza kitchen,negative,love,"pizza,italian,chicken_wings"
Ameci pizza kitchen,negative,fresh,"pizza,italian,chicken_wings"
Dragon Garden,positive,great,"chinese,asianfusion"
Dragon Garden,negative,delicious,"chinese,asianfusion"
Dragon Garden,positive,sour,"chinese,asianfusion"
Buffalo Wild Wings,positive,waste,"tradamerican,sportsbars,chicken_wings"
Buffalo Wild Wings,negative,disappointed,"tradamerican,sportsbars,chicken_wings"
Buffalo Wild Wings,negative,ready,"tradamerican,sportsbars,chicken_wings"
Love BBQ & Sushi,negative,good,"korean,bbq,sushi"
Love BBQ & Sushi,positive,nasty,"korean,bbq,sushi"
Love BBQ & Sushi,negative,problem,"korean,bbq,sushi"
Fire Island Grill,positive,ready,"hawaiian,salad,sandwiches"
Fire Island Grill,positive,best,"hawaiian,salad,sandwiches"
Fire Island Grill,negative,fresh,"hawaiian,salad,sandwiches"
Fresco II,positive,pricey,"greek,mediterranean,italian"
Fresco II,negative,worst,"greek,mediterranean,italian"
Panda Express,positive,shit,"chinese,hotdogs"
Panda Express,negative,like,"chinese,hotdogs"
Medrano's Mexican Restaurant - West Palmdale,positive,rotten,"bars,karaoke,mexican"
Medrano's Mexican Restaurant - West Palmdale,positive,free,"bars,karaoke,mexican"
Medrano's Mexican Restaurant - West Palmdale,negative,great,"bars,karaoke,mexican"
Chinese Gourmet Express,negative,love,chinese
Chinese Gourmet Express,negative,overpriced,chinese
Chinese Gourmet Express,negative,like,chinese
Claim Jumper Steakhouse & Bar,positive,refreshing,"tradamerican,steak,seafood"
Claim Jumper Steakhouse & Bar,positive,ready,"tradamerican,steak,seafood"
Claim Jumper Steakhouse & Bar,negative,like,"tradamerican,steak,seafood"
Red Lobster,positive,recommend,"seafood,tradamerican"
Red Lobster,negative,best,"seafood,tradamerican"
Fresh Express,negative,hard,"juicebars,mexican,icecream"
Fresh Express,negative,soft,"juicebars,mexican,icecream"
Red Robin Gourmet Burgers and Brews,negative,amazing,"tradamerican,burgers"
Red Robin Gourmet Burgers and Brews,positive,gladly,"tradamerican,burgers"
Red Robin Gourmet Burgers and Brews,negative,waste,"tradamerican,burgers"
Taco Bell,positive,like,"hotdogs,tex-mex,mexican"
Taco Bell,negative,good,"hotdogs,tex-mex,mexican"
Applebee's Grill + Bar,positive,fast,"sportsbars,burgers,tradamerican"
Applebee's Grill + Bar,positive,clean,"sportsbars,burgers,tradamerican"
Bad-Ass Breakfast Burritos,positive,good,"fooddeliveryservices,mexican"
Bad-Ass Breakfast Burritos,negative,delicious,"fooddeliveryservices,mexican"
Chili's,positive,messed,"bars,tradamerican,tex-mex"
Chili's,negative,disgusting,"bars,tradamerican,tex-mex"
Chili's,negative,filthy,"bars,tradamerican,tex-mex"
El Torito,positive,unbelievably,"mexican,bars,breakfast_brunch"
El Torito,negative,love,"mexican,bars,breakfast_brunch"
El Torito,negative,excellent,"mexican,bars,breakfast_brunch"
Chipotle Mexican Grill,positive,great,"mexican,hotdogs"
Chipotle Mexican Grill,negative,outstanding,"mexican,hotdogs"
Chipotle Mexican Grill,negative,best,"mexican,hotdogs"
Chronic Tacos,positive,consistently,"mexican,gluten_free,tapasmallplates"
Chronic Tacos,negative,excellent,"mexican,gluten_free,tapasmallplates"
Olives Mediterranean Cafe- Palmdale,negative,conveniently,"mediterranean,greek"
Olives Mediterranean Cafe- Palmdale,positive,great,"mediterranean,greek"
Denny's,positive,super,"tradamerican,diners,breakfast_brunch"
Taco Bell,positive,friendly,"mexican,hotdogs"
Taco Bell,negative,patient,"mexican,hotdogs"
Taco Bell,negative,worst,"mexican,hotdogs"
Olive Garden Italian Restaurant,positive,burn,"italian,salad,soup"
Olive Garden Italian Restaurant,positive,bad,"italian,salad,soup"
Olive Garden Italian Restaurant,negative,great,"italian,salad,soup"
Yoshinoya Avenue P & County Club,positive,love,japanese
Yoshinoya Avenue P & County Club,negative,good,japanese
Yoshinoya Avenue P & County Club,negative,good,japanese
Yoshinoya,positive,issues,japanese
Yoshinoya,negative,better,japanese
Yoshinoya,positive,nice,japanese
Sharky's Woodfired Mexican Grill,positive,good,mexican
Sharky's Woodfired Mexican Grill,negative,bomb,mexican
Sharky's Woodfired Mexican Grill,negative,delicious,mexican
Azteca Mexican Restaurant,positive,favorite,"mexican,breakfast_brunch"
Nopgow,positive,inflated,thai
Nopgow,positive,right,thai
Nopgow,negative,wrong,thai
Pinkfish Poke,positive,sick,"sushi,poke,hawaiian"
Pinkfish Poke,negative,tired,"sushi,poke,hawaiian"
Pinkfish Poke,positive,great,"sushi,poke,hawaiian"
The Original Karen's Kitchen,positive,recommend,"diners,breakfast_brunch,tradamerican"
Lu & Pe Mexican Restaurant & Catering,positive,favorite,mexican
Lu & Pe Mexican Restaurant & Catering,positive,love,mexican
Rubio's,positive,great,"mexican,seafood,salad"
Rubio's,negative,recommend,"mexican,seafood,salad"
Rubio's,negative,great,"mexican,seafood,salad"
Q and Q Hawaiian BBQ,negative,enough,"hawaiian,bbq"
Q and Q Hawaiian BBQ,positive,battered,"hawaiian,bbq"
Q and Q Hawaiian BBQ,negative,good,"hawaiian,bbq"
House Of Kabob,positive,great,"mideastern,mediterranean"
House Of Kabob,positive,amazing,"mideastern,mediterranean"
House Of Kabob,positive,great,"mideastern,mediterranean"
Panda Express,negative,well,"chinese,hotdogs"
Panda Express,negative,thank,"chinese,hotdogs"
Harbour Japanese Restaurant,positive,discourage,"japanese,sushi"
Harbour Japanese Restaurant,negative,complimentary,"japanese,sushi"
Harbour Japanese Restaurant,negative,nice,"japanese,sushi"
Cafe Rio Mexican Grill,positive,perfect,mexican
Cafe Rio Mexican Grill,negative,nice,mexican
Cafe Rio Mexican Grill,negative,stimulate,mexican
Fourteen Restaurant and Lounge,positive,amazing,"tradamerican,lounges"
Fourteen Restaurant and Lounge,negative,hung,"tradamerican,lounges"
Fourteen Restaurant and Lounge,positive,favorite,"tradamerican,lounges"
IHOP,negative,shame,"breakfast_brunch,tradamerican,burgers"
IHOP,negative,pretty,"breakfast_brunch,tradamerican,burgers"
Boom Boom Chicken,positive,great,"korean,chicken_wings"
